bncc_indice,bncc_codigo,bncc_objetivo,curriculo_indice,curriculo_codigo,similaridade,nota_corte_usada
22,(EF08CO01),(EF08CO01) Construir soluções de problemas usando a técnica de recursão e automatizar tais soluções usando uma linguagem de programação.,908,(EF89EF03P3),0.58662176,0.6199999999999997
23,(EF08CO02),"(EF08CO02) Criar soluções de problemas para os quais seja adequado o uso de listas para descrever suas informações e automatizá-las usando uma linguagem de programação, empregando ou não a recursão como uma técnica de resolver o problema.",128,(EF07LP12A),0.6836847,0.6799999999999997
23,(EF08CO02),"(EF08CO02) Criar soluções de problemas para os quais seja adequado o uso de listas para descrever suas informações e automatizá-las usando uma linguagem de programação, empregando ou não a recursão como uma técnica de resolver o problema.",129,(EF07LP12B),0.6716636,0.6799999999999997
24,(EF08CO03),(EF08CO03) Utilizar algoritmos clássicos de manipulação sobre listas.,854,(EF08CI02),0.53363585,0.5299999999999996
24,(EF08CO03),(EF08CO03) Utilizar algoritmos clássicos de manipulação sobre listas.,1704,(EF07MA40ME),0.53155744,0.5299999999999996
24,(EF08CO03),(EF08CO03) Utilizar algoritmos clássicos de manipulação sobre listas.,897,(EF67EF19),0.4998464,0.5299999999999996
25,(EF08CO04),"(EF08CO04) Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares.",85,(EF67EF01),0.6146244,0.6099999999999997
25,(EF08CO04),"(EF08CO04) Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares.",172,(EF07MA36X),0.6110528,0.6099999999999997
25,(EF08CO04),"(EF08CO04) Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares.",880,(EF67EF02),0.606977,0.6099999999999997
26,(EF08CO05),"(EF08CO05) Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos.",934,(EF89EF16),0.73129636,0.7299999999999998
26,(EF08CO05),"(EF08CO05) Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos.",423,(EF09HI06),0.7305007,0.7299999999999998
